,Year,Mon,Week,Open,High,Low,Close,Volume,service,downloading,copyrighted,internet,hashtag,tracking,advertisers,offline,cardholders,spam,chat,uploaded,video,painstakingly,promotional,machinima,placement,web,searches,notifying,feeds,graphs,update,intrade,microblogs,stored,banter,application,infringing,html,lists,http,subscriptions,automatically,sites,streaming,compiling,maps,experiential,digitally,scalpers,illegitimately,satellite,hangout,rumor,posts,trackers,platform,subscriber,websites,airtime,users,edit,petition,backpage,content,information,scams,multiplatform,upload,com,media,document,recorder,href,timeline,caption,copyright,scanning,catalogs,skips,user,deleting,download,click,updating,mail,notices,blogs,posting,messages,pandora,delete,alerts,listings,authentication,search,interactive,kickstarter,videos,virtual,geek,facetime,trailers,texts,autoslash,browse,silicon,keystrokes,lounges,fake,bookmarks,conferencing,customized,streams,site,checking,verifying,dotcom,post,social,via,preloaded,megaupload,pdf,postings,incorporating,graphics,adblock,archive,downloaded,online,autographs,database,youtube,tabs,updated,updates,nyt,tweets,orchestration,shazam,bridgebase,edits,informative,booking,fastweb,telephone,kotaku,consoles,chip,discontinuing,patents,ibooks,laptops,faster,smart,automated,infringed,machine,sensors,developers,antivirus,mapping,tweaked,wearable,delivery,counters,desktop,storage,gps,cloud,holdouts,mainframe,operating,electronics,handsets,inexpensive,simplified,modes,screens,fast,layout,devices,screen,intel,nifty,hardware,android,password,browsing,computing,televisions,wearer,cellular,consumer,maneuvers,videoconferencing,smartphone,connector,server,computers,pricing,java,printing,technologies,interface,oracle,tools,device,printers,phones,target,analytics,speedier,refine,processors,simulation,newer,computer,xerox,eyeglasses,titan,handset,portable,laptop,webos,playbook,motion,appliances,date,Day
10,2012,07,4,87.056,87.466,86.324,86.822,84107256,89,69,66,93,23,36,60,68,59,86,98,51,70,37,78,60,88,82,41,58,81,53,64,11,20,87,41,91,57,92,96,91,61,79,97,58,99,65,68,29,16,21,81,19,92,70,78,66,14,98,18,86,97,17,58,93,86,99,36,97,80,81,84,94,92,52,20,69,90,85,85,98,71,89,82,56,84,75,98,44,63,57,75,74,87,84,77,76,31,78,84,69,41,98,94,14,52,46,74,83,62,95,86,72,29,100,60,49,13,83,74,92,66,34,58,84,79,91,24,88,67,91,70,94,73,95,63,64,40,54,62,35,79,58,22,31,71,90,52,52,78,42,69,62,77,91,57,92,13,75,78,94,93,87,11,24,57,23,98,80,58,71,4,81,88,97,95,90,42,75,100,28,75,72,89,89,80,93,72,88,72,84,52,40,75,90,68,86,43,89,99,91,80,73,86,98,93,95,96,73,87,91,46,85,9,75,85,64,79,92,92,90,32,84,87,83,75,19,86,93,2012-07-21,21
11,2012,07,5,83.742,84.646,82.806,83.994,137061405,86,68,58,97,26,36,54,68,40,83,98,51,73,46,78,67,86,78,41,56,85,48,67,13,34,85,40,89,54,90,93,88,56,80,96,61,86,62,67,29,16,21,80,21,86,72,74,70,16,95,18,87,96,15,57,92,84,90,43,97,80,81,82,95,89,56,20,67,87,81,82,96,70,89,78,55,83,74,95,42,66,57,77,68,80,84,76,74,32,78,83,66,39,95,91,5,55,44,73,76,61,92,92,71,31,99,61,45,9,80,73,89,61,30,56,86,69,91,25,86,67,91,88,91,74,92,68,78,37,54,64,36,76,63,23,32,66,88,48,50,80,41,65,62,78,94,57,92,16,73,76,93,91,82,15,22,58,23,98,79,56,72,3,83,84,94,96,96,41,74,94,27,73,69,86,87,77,93,70,89,75,79,61,32,75,89,70,72,43,87,100,90,79,71,86,93,90,92,93,72,89,91,47,84,18,74,82,63,82,89,88,89,31,88,86,84,72,21,82,90,2012-07-28,28
12,2012,08,1,87.2566666667,87.86,86.42,87.16,88471849,85,69,66,95,22,37,55,68,61,84,96,53,73,40,78,61,87,77,41,60,80,51,66,18,60,83,37,90,66,88,92,86,55,80,96,51,88,63,73,27,15,42,80,25,80,71,70,72,13,95,17,86,98,15,57,93,83,91,31,95,78,79,81,95,87,59,20,69,84,85,83,95,71,89,76,53,80,71,96,40,63,57,76,66,76,99,74,78,34,80,81,69,39,91,90,7,60,42,88,76,60,94,83,72,31,97,60,45,69,81,73,81,71,32,57,81,71,91,25,88,65,89,75,88,73,91,67,71,40,48,60,35,75,62,22,32,58,85,47,54,79,52,69,62,78,95,57,88,10,73,74,92,91,84,11,21,58,23,97,77,57,65,6,80,85,95,100,91,42,74,93,27,74,69,88,88,81,90,70,89,72,80,54,38,71,87,67,48,43,87,97,90,79,71,86,93,91,90,91,72,88,89,47,80,18,77,84,64,90,91,87,91,30,85,85,86,65,20,84,93,2012-08-04,04
13,2012,08,2,88.456,89.066,88.198,88.736,62720242,86,69,63,96,23,37,58,67,53,85,98,57,71,22,79,63,89,78,42,58,84,57,65,18,47,80,47,92,47,89,97,86,58,81,97,48,86,65,65,27,13,28,79,28,74,72,67,70,16,99,18,85,100,16,59,93,86,98,24,99,81,82,82,97,84,63,20,69,88,90,84,96,74,91,76,56,78,74,97,43,67,59,78,69,83,85,77,76,33,81,86,72,40,94,100,10,67,43,74,74,61,95,86,71,30,98,62,46,28,83,77,75,78,32,59,89,83,94,24,90,67,87,70,89,73,94,67,67,39,51,51,36,96,63,18,33,45,88,49,55,80,50,66,62,81,90,56,89,11,80,76,96,95,85,13,22,58,24,99,79,59,64,5,81,84,96,83,92,45,75,87,28,73,73,87,90,79,95,72,90,70,86,53,52,69,91,74,56,42,86,98,94,78,72,91,93,92,86,95,72,94,91,48,82,14,79,85,62,85,93,88,95,30,85,87,88,70,20,85,95,2012-08-11,11
14,2012,08,3,90.224,91.074,90.016,90.772,78702132,87,70,71,96,21,37,63,66,29,84,99,58,72,53,82,60,88,81,43,63,83,64,66,15,30,89,43,90,86,92,99,87,58,82,100,55,85,65,65,25,17,42,85,25,73,74,76,73,14,98,17,88,98,19,61,95,87,95,50,100,83,83,86,97,91,67,21,71,94,91,84,97,74,90,74,56,80,75,99,43,65,63,79,67,84,86,77,79,35,82,86,71,41,93,94,12,69,46,87,74,61,100,96,72,35,100,60,45,19,83,79,82,74,29,62,93,74,96,24,92,68,86,66,88,74,93,68,70,41,48,69,37,92,62,20,30,61,91,50,54,78,46,80,65,83,88,58,91,70,78,77,96,95,88,16,24,58,23,100,81,57,64,10,80,85,96,100,92,49,77,85,27,77,75,88,93,77,99,72,92,74,88,53,32,70,91,67,59,46,85,98,99,80,73,94,97,92,90,99,73,97,92,46,84,14,75,88,69,75,96,91,91,30,82,89,88,70,21,86,93,2012-08-18,18
15,2012,08,4,94.312,95.668,93.286,94.74,142443253,88,66,66,99,22,38,58,65,37,82,95,54,71,38,77,59,86,81,42,62,84,75,68,18,48,89,39,92,80,93,99,92,60,80,96,59,91,63,66,26,14,20,89,30,74,69,73,77,14,96,18,87,97,18,58,94,91,91,32,98,79,88,89,99,91,57,20,72,90,90,79,96,72,90,74,55,82,73,99,41,60,62,77,68,82,92,75,82,30,80,88,68,38,86,86,2,71,46,84,68,61,94,87,76,30,98,60,48,15,84,79,86,72,32,64,82,73,94,23,92,64,88,72,90,75,93,71,72,41,45,82,36,79,60,29,28,76,91,47,50,80,46,100,59,81,85,61,89,58,74,75,91,97,89,11,20,58,21,100,83,54,65,9,100,89,95,93,85,58,80,79,25,76,76,86,92,75,97,70,91,71,91,56,53,71,91,73,74,48,84,99,97,76,80,93,97,95,94,94,72,96,92,43,83,17,96,91,72,75,94,92,91,30,83,89,87,79,23,84,94,2012-08-25,25
16,2012,09,2,96.1625,96.8675,95.74,96.4975,89081228,89,62,75,97,23,37,56,62,48,80,88,54,74,58,74,54,91,80,46,52,79,98,65,21,47,94,36,95,41,97,94,97,57,81,93,53,91,61,81,28,18,0,81,25,72,71,61,72,13,96,17,89,95,18,58,97,99,90,44,94,72,86,97,94,93,58,21,76,99,82,84,98,66,87,72,54,83,72,96,43,59,63,73,61,82,86,77,92,33,79,89,70,40,84,86,6,64,50,85,75,58,92,96,72,32,96,60,47,11,84,84,95,71,24,66,90,83,93,24,92,61,86,59,95,73,92,66,66,42,42,84,33,68,53,53,26,94,93,47,56,83,45,83,59,77,93,60,91,22,76,81,93,93,98,16,23,56,24,99,75,52,73,2,95,93,94,96,86,67,89,81,25,78,84,87,91,75,98,69,88,68,100,51,29,80,91,70,69,50,100,96,100,84,78,100,100,99,98,96,74,100,97,41,90,23,83,96,73,82,98,97,88,28,87,85,85,71,25,90,87,2012-09-08,08
17,2012,09,3,96.564,97.308,95.352,96.21,145149236,89,69,67,100,24,38,64,64,53,86,89,56,74,53,76,59,93,84,48,55,77,100,82,24,51,99,38,96,86,98,100,96,60,82,94,59,94,66,84,28,26,20,81,25,65,72,71,70,13,99,17,93,98,20,59,97,99,91,43,95,75,88,98,98,94,53,20,77,100,95,78,100,72,90,76,79,83,70,97,44,61,64,80,65,84,89,78,93,36,80,91,72,58,89,92,19,67,50,79,72,59,98,100,74,37,97,61,52,9,85,87,94,87,22,66,86,94,92,25,91,71,89,57,96,76,95,83,69,42,41,78,36,77,61,61,26,94,94,49,56,85,47,85,62,76,100,66,90,17,79,84,91,94,100,13,23,60,26,99,77,52,69,3,93,98,94,95,89,68,91,79,25,79,87,89,92,79,96,72,91,71,97,53,38,88,94,75,71,50,96,96,99,82,77,98,98,98,95,98,77,100,100,42,88,23,77,95,73,79,100,100,91,28,92,87,85,72,25,98,89,2012-09-15,15
18,2012,09,4,100.03,100.32,99.532,100.072,100327435,88,64,71,99,26,38,63,63,47,83,88,58,73,66,74,57,89,83,46,68,75,99,75,23,50,100,38,99,66,99,97,94,58,84,91,63,84,69,86,26,23,19,80,24,59,74,64,71,13,100,17,93,96,20,59,94,100,90,42,97,73,90,97,96,100,53,21,77,99,89,81,99,75,87,72,74,85,73,95,49,69,63,78,68,84,89,76,91,32,79,94,70,57,84,92,13,69,48,89,74,59,96,98,71,38,96,61,53,18,84,86,93,82,29,69,82,89,89,25,89,67,87,63,99,76,92,82,64,42,42,81,36,78,52,68,26,92,93,47,55,82,51,83,64,72,92,61,94,29,77,83,91,93,98,14,32,59,23,98,76,51,73,3,95,100,92,87,86,66,97,81,25,81,87,89,91,79,94,72,92,71,97,52,44,87,94,71,81,48,95,96,97,81,80,94,97,100,97,98,76,96,98,42,88,14,75,89,75,76,95,97,86,27,88,87,82,83,23,95,88,2012-09-22,22
19,2012,09,5,96.766,97.824,95.552,96.512,143220331,87,64,74,96,26,39,69,62,50,84,89,57,72,43,75,58,90,82,44,53,75,93,70,45,43,96,35,93,73,96,96,95,56,84,95,64,91,65,89,26,20,19,78,26,59,74,68,72,12,99,19,91,95,21,62,94,97,88,42,94,72,87,95,95,93,52,21,77,97,98,77,96,73,88,75,63,90,77,95,47,69,63,76,62,86,89,76,92,32,78,91,82,49,82,88,8,87,50,100,74,59,95,97,72,33,97,63,49,12,84,84,93,81,23,67,82,89,88,24,90,63,89,59,96,80,90,72,59,43,43,79,36,62,59,69,26,86,91,49,52,82,42,78,61,70,89,62,95,18,77,80,87,95,95,12,27,59,25,97,77,49,79,2,91,92,91,83,83,63,93,78,24,77,84,87,87,82,92,70,89,71,94,51,28,85,93,81,77,48,90,92,94,79,76,96,95,96,95,95,75,94,94,41,91,21,73,86,72,71,92,98,84,28,80,86,81,98,24,93,89,2012-09-29,29
20,2012,10,1,95.264,95.862,93.904,94.616,128030639,86,61,67,92,24,40,65,59,38,83,90,59,71,44,70,65,88,81,46,45,72,96,68,46,54,94,36,91,68,95,93,91,55,77,89,59,88,62,78,26,20,19,76,25,55,72,61,69,12,96,17,90,93,18,64,94,97,90,40,91,71,84,95,96,93,46,21,74,93,93,71,94,68,86,77,58,96,71,95,43,62,62,73,59,81,84,74,90,28,78,88,78,45,79,93,7,64,49,81,70,57,91,96,67,32,94,58,47,11,85,81,89,68,21,65,75,97,87,24,88,60,91,64,97,82,88,65,58,40,39,65,33,59,58,68,27,90,89,48,54,78,35,74,56,68,85,59,89,27,78,84,87,91,94,14,23,58,27,93,73,49,76,2,94,91,89,84,84,66,92,75,23,77,81,84,85,79,90,69,87,66,97,49,38,83,92,71,63,46,86,90,91,78,76,93,96,95,94,97,73,89,87,41,89,22,79,84,72,73,90,93,90,28,81,83,78,70,22,92,89,2012-10-06,06
21,2012,10,2,91.476,91.884,89.996,90.646,149651289,84,61,73,91,27,41,66,59,42,85,87,59,72,38,69,69,83,82,47,56,72,97,65,55,30,96,36,91,68,93,93,89,55,77,90,55,88,61,89,25,18,25,76,23,57,73,64,70,13,97,19,88,91,17,63,93,97,87,43,91,73,83,93,94,99,46,21,74,95,89,63,94,68,83,74,53,95,72,93,42,60,62,73,58,83,85,75,91,31,77,90,78,42,79,89,5,64,48,80,72,59,89,88,70,30,92,60,48,13,85,85,89,67,23,65,73,96,87,24,88,59,91,56,96,85,86,66,55,40,41,75,32,65,61,65,26,88,86,47,51,78,48,73,56,69,85,59,91,17,78,81,87,87,96,12,24,56,28,95,71,49,78,2,84,89,89,82,89,58,89,75,24,79,80,82,86,77,87,68,86,66,92,52,36,82,92,56,63,45,85,91,91,80,76,92,93,97,96,96,73,87,86,41,90,13,79,83,74,71,88,94,83,27,78,81,78,67,20,91,88,2012-10-13,13
22,2012,10,3,91.066,91.772,89.67,90.62,129614389,83,62,70,92,26,41,54,60,50,83,87,63,72,72,69,74,79,82,46,59,70,91,69,97,45,91,39,86,70,92,92,83,57,87,91,55,82,61,88,28,16,0,78,24,60,71,66,72,13,96,18,89,91,17,65,91,93,81,34,89,74,87,90,96,97,48,19,72,87,91,69,92,65,85,75,55,94,70,94,41,66,66,71,60,81,82,74,92,28,80,90,80,45,89,90,7,63,48,73,68,62,88,85,64,30,93,57,47,13,84,83,87,56,24,63,74,90,88,25,89,57,90,57,91,84,89,68,54,46,41,78,33,69,56,62,25,86,87,48,56,80,49,71,100,73,83,61,86,20,79,77,87,86,92,13,24,56,27,96,72,48,99,2,86,87,88,78,87,56,84,80,23,78,77,84,89,74,92,70,84,65,85,55,48,86,90,65,70,47,87,91,91,82,76,90,87,94,90,93,71,87,86,43,89,11,73,89,71,77,86,91,83,27,75,84,81,65,23,90,86,2012-10-20,20
23,2012,10,4,88.408,89.482,86.562,87.938,174357517,87,64,64,93,26,41,61,60,42,78,88,67,74,36,67,78,78,86,42,48,72,82,100,83,36,86,38,88,63,87,87,82,57,79,89,63,68,60,85,30,16,0,99,24,56,67,67,67,13,94,19,81,91,15,66,88,91,75,39,90,71,89,83,95,86,48,19,68,89,91,64,91,66,86,79,56,93,73,88,38,60,64,72,99,83,79,71,90,28,79,88,78,45,77,87,13,65,45,71,60,63,88,85,62,34,91,55,45,20,89,76,80,64,28,60,66,80,86,28,88,59,92,48,89,86,86,74,78,60,41,73,31,65,62,47,25,75,86,58,54,79,39,65,73,76,81,60,83,17,76,79,85,89,88,12,22,58,28,97,72,46,96,5,70,93,85,82,78,57,87,75,23,74,79,84,93,77,92,71,86,65,86,50,52,85,92,59,70,47,82,92,89,76,74,84,85,94,84,95,71,83,87,43,87,11,77,86,68,72,85,84,77,28,76,89,83,64,22,89,86,2012-10-27,27
24,2012,11,1,85.295,85.71,83.495,83.81,120102493,83,59,63,92,27,40,65,59,47,82,85,62,70,70,69,90,78,80,45,58,65,91,68,100,41,89,39,90,62,89,88,82,62,86,89,56,79,58,73,23,17,36,74,24,56,72,64,76,12,92,18,85,88,17,65,90,94,77,27,87,71,87,86,97,91,46,19,70,89,99,64,90,65,83,75,54,94,72,90,56,60,65,70,60,76,77,72,100,27,76,90,85,42,76,88,9,62,52,51,65,56,83,97,67,30,91,55,45,16,92,83,86,78,24,63,67,91,86,27,88,60,90,48,89,82,86,78,69,63,51,70,31,67,56,50,26,83,86,46,59,79,48,68,63,80,78,62,87,18,78,77,84,86,89,15,23,56,29,94,71,45,85,3,68,88,87,78,82,59,91,75,22,75,78,83,89,75,89,68,82,62,84,56,28,92,91,71,63,48,83,89,89,76,73,86,86,93,86,95,71,85,88,46,90,8,70,86,69,72,85,88,81,27,80,87,83,58,25,89,89,2012-11-03,03
